address,amenities,bathrooms,city,cleaning_fee_native,description,host_id,host_name,lat,listing_id,lng,min_nights,monthly_price_factor,name,price,property_type,reviewee_count,space,summary,ts
"Redwood City, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Hot tub, Indoor fireplace, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Long term stays allowed, Paid parking on premises]",1.0,Redwood City,99,"The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.

Type: Studio - Urban Flat
Location: Redwood City, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SFO: 15
Travel Time to SJC: 25
Travel Time to San Francisco: 30

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security

Guests of Urban Flat will have access to all building amenities. 
-Pool
-Spa
-Fitness Center
-Business Center

We're available 24/7 via Text | Email | Emergency Phone Line
-Your Flat however, is 100% private and belongs to you while our guest.

*Area Highlights*
-Located in Prime Palo Alto
-Convenient Transport Links (Freeway + Caltrain)
-To SFO: Est. 15 Minutes
-To SJC: Est. 25 Minutes 
-To San Francisco, CA: Est. 30 Minutes
-Walkable + Safe Neighborhood
-Restaurants, Markets, Bars, Shopping - > 5 Minutes

This Flat Location is Uber/Lyft Accessible & Close to Major Transport Links

- Stays of 30+ days cannot be booked more than 1-year in advance
- Short-term stays are subject to a 30-day booking window in most cases
- Flat may vary slightly in floor-plan, furnishings, or view
- No Onsite Luggage Storage
- No Filming or Commercial Photo-shoots without written consent 
- Self Check-in Process

*The Urban Flat Advantage*
-Streamlined Self-Check-in Process
-24/7 Guest Support
-On-Demand Cleaning Available @ $89/per
-100% Private Apartment

*What’s Next*
Submit a Booking Request → We’ll Accept & Confirm → Self-Check-In Instructions Sent via Text & Email 24-hours Prior to Arrival → Use Instructions to Access your Urban Flat → Welcome Home.",2917744,Urban Flat,37.4826264737,23930139,-122.22640143,5,,Private Studio Urban Flat in Downtown Redwood City,209,Boutique hotel,2331,"Type: Studio - Urban Flat
Location: Redwood City, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SFO: 15
Travel Time to SJC: 25
Travel Time to San Francisco: 30

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security","The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.",2018-08-24 23:14:05.215936
"Chicago, IL, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Gym, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Long term stays allowed]",2.0,Chicago,134,"At this Sonder, you'll love the beautifully exposed brick, open-concept living area, and fully-equipped kitchen. Located in the South Loop, a short walk from the Roosevelt station and Chicago's famous Museum Campus.

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

There's plenty to offer within walking distance. Try out Exchequer Restaurant & Pub or Gino’s East South Loop for some of Chicago's best dining. For shopping, head to Roosevelt Collection Shops. To explore the rest of the city, grab the bus at State & 16th Street just a few feet away.

South Loop is part of Downtown Chicago. It's home to the Museum Campus, Grant Park, and many other famous Chicago attractions.

There are minimal free street parking spots available. Drivers can also find paid street and parking lot options nearby, but please be mindful of street signs.

The second bedroom of this Sonder is loft-style, where the walls start below the ceiling, and you must walk up 5 stairs to access this room.

This Sonder offers a complimentary ROKU streaming device with Netflix as well as access to many other apps. It also includes 40+ HD basic channels.

Your Sonder's keys will be found in a lockbox and we'll be sending you detailed access information three days before your stay. If you need any help, just give us a call.

Due to nearby train tracks, you may experience some noise.

Due to new development, you may encounter some construction that may be audible from your Sonder during business hours from 8:00AM to 4:30PM.",12243051,Sonder,41.8597197962,22880935,-87.6270699273,2,,Industrial 2BR in South Loop by Sonder,189,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the beautifully exposed brick, open-concept living area, and fully-equipped kitchen. Located in the South Loop, a short walk from the Roosevelt station and Chicago's famous Museum Campus.",2018-08-24 23:14:05.215936
"New York City, NY, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Free street parking, Heating, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Garden or backyard, Long term stays allowed, Other]",1.0,New York City,123,"At this Sonder you'll love the vibrant furnishings, modern kitchen, and shared backyard. This townhouse is in the Upper East Side, known for its world-famous attractions and close to the subway.

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

This is a basement-level Sonder with stair access only, and no elevator.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

The Upper East Side has plenty to offer within walking distance. Try out Maya or Vaucluse for some of the city's best dining. For shopping head over to Madison Avenue only a few blocks from your apartment. To discover the rest of the city just grab the subway with two different stops only an 8-minute walk away.

The Upper East Side is one of New York's most illustrious and historic locales. Known for its affluence and cultural institutions, there are plenty of must-see attractions including the Guggenheim and the Metropolitan Museum of Art.

At this Sonder you can use a nearby paid parking lot.

This Sonder doesn't have laundry facilities. If you'd like we can arrange for your laundry to be picked up anytime.

Due to this Sonder's street view, you may experience some city noise. We've put white noise machines in all street-facing bedrooms to reduce any disturbances.

Your Sonder's keys will be found in a lockbox and we'll be sending you detailed access information three days before your stay. If you need any help just give us a call.

The backyard at this Sonder is shared, but you'll have the rest of the apartment all to yourself.

This is a garden-level Sonder with stair access only, and no elevator.",12243051,Sonder,40.7628346815,18580576,-73.9616352935,2,,Charming 1BR in the Upper East Side by Sonder,699,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","At this Sonder you'll love the vibrant furnishings, modern kitchen, and shared backyard. This townhouse is in the Upper East Side, known for its world-famous attractions and close to the subway.",2018-08-24 23:14:05.215936
"San Francisco, CA, United States","[TV, Cable TV, Wifi, Kitchen, Gym, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Paid parking on premises]",1.0,San Francisco,101,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There’s plenty to offer within walking distance. Try out Dottie's True Blue Cafe or The Chieftain Authentic Irish Pub & Restaurant for some of San Francisco's best dining. For shopping, head to Westfield San Francisco Centre on Market Street. To explore the rest of the city, head to the Civic Center Metro Station.

SoMA, or South of Market, is a fast growing centrally located neighborhood filled with brand new high-rises with a vibrant nightlife. It is the home to many of the city's museums, the headquarters of several major software and Internet companies, and the Moscone Conference Center.

Parking is available upon request for an additional fee.

This Sonder does not have air conditioning, but we can provide fans, upon request, for each of the rooms that you can use during your stay.

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,37.7773496021,20420366,-122.413413739,30,1.0,Open-Concept 1BR in SoMA by Sonder,147,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"Chicago, IL, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed]",2.0,Chicago,150,"This stunning Wrigleyville apartment boasts open-concept living areas, bunk beds so that you can take your whole group along, and a modern, fully-equipped kitchen. Located within easy walking distance to Wrigley Field.

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

This apartment is perfect if you're staying in town to cheer on the Cubs! There's also plenty of dining and shopping nearby. Before the big game head over to Tango Sur for a steak and you'll also be able to bring along your own bottle of wine. For a weekend brunch try out Uncommon Ground!

Wrigleyville is not only steps away from Wrigley Field, but also on the border of Lakeview, an area to the south full of hip restaurants and bars. Because it's bordered by Lake Michigan, it has some of the best views in the city.

You're within walking distance to the Addision Red Line El Station and the Southport Brown Line El Station making it easy to travel throughout Chicago.

Your Sonder's keys will be found in a lockbox and we'll be sending you detailed access information three days before your stay. If you need any help just give us a call.

This Sonder is a 3rd floor walk-up with stair access only, and no elevator.",12243051,Sonder,41.9500561143,15039647,-87.6640528974,2,,Stunning 2BR in Wrigleyville by Sonder,129,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","This stunning Wrigleyville apartment boasts open-concept living areas, bunk beds so that you can take your whole group along, and a modern, fully-equipped kitchen. Located within easy walking distance to Wrigley Field.",2018-08-24 23:14:05.215936
"Sunnyvale, CA, United States","[TV, Internet, Wifi, Kitchen, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace]",3.0,Sunnyvale,345,"Step into your new home away from home in bright and charming Sunnyvale! Find inspiration from this Silicon Valley tech hub, close to (Hidden by Airbnb) and Apple, etc., and enjoy the green spaces of Lakewood Park and John W. Christian Greenbelt, just steps away from your place. Have a no-stress  commute thanks to your close proximity to Highway 101 and the Lawrence Expressway, and get your Downtown Sunnyvale on, complete with restaurants, bars,...

Enjoy a stay with Zeus! We have 400+ reviews (see below).

Step into your new home away from home in bright and charming Sunnyvale! Find inspiration from this Silicon Valley tech hub, close to (Hidden by Airbnb) and Apple, etc., and enjoy the green spaces of Lakewood Park and John W. Christian Greenbelt, just steps away from your place. Have a no-stress  commute thanks to your close proximity to Highway 101 and the Lawrence Expressway, and get your Downtown Sunnyvale on, complete with restaurants, bars, a comedy club, and a winery, just minutes away. I’m guessing you’ll want to extend your stay!

• May smell cigarette smoke lingering from past owner.",48005494,Zeus,37.3950711223,22908426,-122.004480195,30,,5BR House in Sunnyvale,277,House,437,"Step into your new home away from home in bright and charming Sunnyvale! Find inspiration from this Silicon Valley tech hub, close to (Hidden by Airbnb) and Apple, etc., and enjoy the green spaces of Lakewood Park and John W. Christian Greenbelt, just steps away from your place. Have a no-stress  commute thanks to your close proximity to Highway 101 and the Lawrence Expressway, and get your Downtown Sunnyvale on, complete with restaurants, bars, a comedy club, and a winery, just minutes away. I’m guessing you’ll want to extend your stay!","Step into your new home away from home in bright and charming Sunnyvale! Find inspiration from this Silicon Valley tech hub, close to (Hidden by Airbnb) and Apple, etc., and enjoy the green spaces of Lakewood Park and John W. Christian Greenbelt, just steps away from your place. Have a no-stress  commute thanks to your close proximity to Highway 101 and the Lawrence Expressway, and get your Downtown Sunnyvale on, complete with restaurants, bars,...

Enjoy a stay with Zeus! We have 400+ reviews (see below).",2018-08-24 23:14:05.215936
"Chicago, IL, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed]",2.0,Chicago,154,"At this Sonder, you'll love the floor-to-ceiling windows, an open-concept kitchen, and spacious bedrooms. Located in Lakeview known for its delicious restaurants and nightlife.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

Lakeview has plenty to offer within walking distance. Try out Lokal or Knife & Tine for some of Chicago's best dining. For shopping head over to Riverpoint Center on N Clybourn Ave. To discover the rest of the city just hope on the metro at Ashland & Fullerton station.

Not only is Lakeview full of hip restaurants and bars, it’s also got some of the best views in the city since its eastern border ends at Lake Michigan. Nearby Lincoln Park also has a lovely harbor, tennis courts, a beach and jogging trails.

Drivers can find free and paid street parking nearby, but please be mindful of street signs.

Your Sonder's keys will be found in a lockbox and we'll be sending you detailed access information three days before your stay. If you need any help just give us a call.",12243051,Sonder,41.924426664,8739779,-87.6684410267,2,0.75,Spacious 3BR in Lincoln Park  by Sonder,118,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the floor-to-ceiling windows, an open-concept kitchen, and spacious bedrooms. Located in Lakeview known for its delicious restaurants and nightlife.",2018-08-24 23:14:05.215936
"San Francisco, CA, United States","[TV, Cable TV, Wifi, Kitchen, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Long term stays allowed, Host greets you, Paid parking on premises]",1.0,San Francisco,101,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There’s plenty to offer within walking distance. Try out Spark Social SF or Marlowe for some of San Francisco's best comfort food. For shopping, head to the Westfield Mall on 4th street. To explore the rest of the city, grab the Caltrain at 4th & King Street. 

A former salt marsh and lagoon, Mission Bay is a thriving neighborhood in San Francisco with many new high rise residential complexes, AT&T Park and the future home of the Chase Center. With its appealing location at the North Terminus of the Caltrain Station, Mission Bay is the ideal location for commuters into the South Bay.

Parking is available upon request for an additional fee.

This Sonder does not have air conditioning, but we can provide fans for each of the rooms that you can use during your stay. 

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,37.7741166314,20092011,-122.391963331,30,1.0,Stunning 1BR in Mission Bay by Sonder,177,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"San Francisco, CA, United States","[TV, Cable TV, Wifi, Kitchen, Gym, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Paid parking on premises]",1.0,San Francisco,95,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There’s plenty to offer within walking distance. Try out Dottie's True Blue Cafe or The Chieftain Authentic Irish Pub & Restaurant for some of San Francisco's best dining. For shopping, head to Westfield San Francisco Centre on Market Street. To explore the rest of the city, head to the Civic Center Metro Station.

SoMA, or South of Market, is a fast growing centrally located neighborhood filled with brand new high-rises with a vibrant nightlife. It is the home to many of the city's museums, the headquarters of several major software and Internet companies, and the Moscone Conference Center.

Parking is available upon request for an additional fee.

This Sonder does not have air conditioning, but we can provide fans, upon request, for each of the rooms that you can use during your stay.

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,37.7777911174,22670589,-122.414770454,30,1.0,Lovely 1BR in SoMA by Sonder,147,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"San Jose, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Single level home, Long term stays allowed, Paid parking on premises]",1.0,San Jose,99,"The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.

Type: 1BR - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security

Guests of Urban Flat will have access to all building amenities. 
-Pool
-Spa
-Fitness Center
-Business Center
-Fire Pits
-Cabanas

We're available 24/7 via Text | Email | Emergency Phone Line
-Your Flat however, is 100% private and belongs to you while our guest.

*Area Highlights*
-Located in the Heart of the Silicon Valley
-Convenient Transport Links (Freeway + Caltrain)
-To SJC: Est. 10 Minutes
-To SFO: Est. 40 Minutes 
-To San Francisco, CA: Est. 50 Minutes
-Walkable + Safe Neighborhood
-Restaurants, Markets, Bars, Shopping - > 5 Minutes

This Flat Location is Uber/Lyft Accessible & Close to Major Transport Links

- Stays of 30+ days cannot be booked more than 1-year in advance
- Short-term stays are subject to a 30-day booking window in most cases
- Flat may vary slightly in floorplan, furnishings, or view
- No Onsite Luggage Storage
- No Filming or Commercial Photo-shoots without written consent 
- Self Check-in Process

*The Urban Flat Advantage*
-Streamlined Self-Check-in Process
-24/7 Guest Support
-On-Demand Cleaning Available @ $79/per
-100% Private Apartment

*What’s Next*
Submit a Booking Request → We’ll Accept & Confirm → Self-Check-In Instructions Sent via Text & Email 24-hours Prior to Arrival → Use Instructions to Access your Urban Flat → Welcome Home.",2917744,Urban Flat,37.4023318718,20480604,-121.942273672,5,,Business 1BR/1BA Urban Flat near Cisco HQ!,159,Apartment,2331,"Type: 1BR - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security","The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.",2018-08-24 23:14:05.215936
