month,listing_id,price_nightly,price_monthly,days_included,ts,monthly_price_factor
2018-07,8501680,209.0,6479,31,2018-08-24 23:14:47.320926,
2018-07,8739779,261.64516129,8111,31,2018-08-24 23:14:47.320926,0.75
2018-07,8926180,224.483870968,6959,31,2018-08-24 23:14:47.320926,
2018-07,8994396,195.903225806,6073,31,2018-08-24 23:14:47.320926,0.9
2018-07,9317060,158.096774194,4901,31,2018-08-24 23:14:47.320926,
2018-07,10524152,213.0,6603,31,2018-08-24 23:14:47.320926,
2018-07,13576904,223.64516129,6933,31,2018-08-24 23:14:47.320926,1.0
2018-07,13599334,237.064516129,7349,31,2018-08-24 23:14:47.320926,
2018-07,14351665,190.290322581,5899,31,2018-08-24 23:14:47.320926,
2018-07,14371353,338.032258065,10479,31,2018-08-24 23:14:47.320926,
2018-07,14448447,175.129032258,5429,31,2018-08-24 23:14:47.320926,
2018-07,15039647,233.193548387,7229,31,2018-08-24 23:14:47.320926,
2018-07,15083274,271.322580645,8411,31,2018-08-24 23:14:47.320926,
2018-07,15083984,85.0967741935,2638,31,2018-08-24 23:14:47.320926,
2018-07,15372093,301.903225806,9359,31,2018-08-24 23:14:47.320926,0.75
2018-07,15496522,158.0,4898,31,2018-08-24 23:14:47.320926,
2018-07,16517889,222.580645161,6900,31,2018-08-24 23:14:47.320926,
2018-07,17746943,201.0,6231,31,2018-08-24 23:14:47.320926,
2018-07,18285892,437.322580645,13557,31,2018-08-24 23:14:47.320926,
2018-07,18566093,203.0,6293,31,2018-08-24 23:14:47.320926,
2018-07,18580576,247.935483871,7686,31,2018-08-24 23:14:47.320926,
2018-07,18787789,146.35483871,4537,31,2018-08-24 23:14:47.320926,
2018-07,18791352,146.35483871,4537,31,2018-08-24 23:14:47.320926,1.0
2018-07,19156306,230.935483871,7159,31,2018-08-24 23:14:47.320926,1.0
2018-07,19435711,236.612903226,7335,31,2018-08-24 23:14:47.320926,
2018-07,19621987,301.774193548,9355,31,2018-08-24 23:14:47.320926,0.75
2018-07,19673761,226.032258065,7007,31,2018-08-24 23:14:47.320926,
2018-07,19821563,149.612903226,4638,31,2018-08-24 23:14:47.320926,1.0
2018-07,20086622,197.0,6107,31,2018-08-24 23:14:47.320926,
2018-07,20089568,153.967741935,4773,31,2018-08-24 23:14:47.320926,1.0
2018-07,20092011,178.935483871,5547,31,2018-08-24 23:14:47.320926,1.0
2018-07,20420366,146.35483871,4537,31,2018-08-24 23:14:47.320926,1.0
2018-07,20480604,170.419354839,5283,31,2018-08-24 23:14:47.320926,
2018-07,20480993,196.419354839,6089,31,2018-08-24 23:14:47.320926,
2018-07,21230704,565.161290323,17520,31,2018-08-24 23:14:47.320926,
2018-07,21321103,165.483870968,5130,31,2018-08-24 23:14:47.320926,
2018-07,21621402,191.387096774,5933,31,2018-08-24 23:14:47.320926,
2018-07,22122218,155.0,4805,31,2018-08-24 23:14:47.320926,
2018-07,22374437,174.580645161,5412,31,2018-08-24 23:14:47.320926,0.75
2018-07,22397835,151.032258065,4682,31,2018-08-24 23:14:47.320926,1.0
2018-07,22448508,252.548387097,7829,31,2018-08-24 23:14:47.320926,0.75
2018-07,22504534,128.0,3968,31,2018-08-24 23:14:47.320926,
2018-07,22670589,139.0,4309,31,2018-08-24 23:14:47.320926,1.0
2018-07,22880935,262.741935484,8145,31,2018-08-24 23:14:47.320926,
2018-07,22908426,334.0,10354,31,2018-08-24 23:14:47.320926,
2018-07,23038931,185.0,5735,31,2018-08-24 23:14:47.320926,
2018-07,23232956,162.451612903,5036,31,2018-08-24 23:14:47.320926,
2018-07,23546141,170.935483871,5299,31,2018-08-24 23:14:47.320926,
2018-07,23702074,209.0,6479,31,2018-08-24 23:14:47.320926,1.0
2018-07,23713405,208.419354839,6461,31,2018-08-24 23:14:47.320926,1.0
2018-07,23714684,200.903225806,6228,31,2018-08-24 23:14:47.320926,1.0
2018-07,23764791,211.870967742,6568,31,2018-08-24 23:14:47.320926,
2018-07,23874025,175.612903226,5444,31,2018-08-24 23:14:47.320926,1.0
2018-07,23875602,175.612903226,5444,31,2018-08-24 23:14:47.320926,1.0
2018-07,23930139,165.0,5115,31,2018-08-24 23:14:47.320926,
2018-07,24182769,115.0,3565,31,2018-08-24 23:14:47.320926,
2018-07,24751022,169.548387097,5256,31,2018-08-24 23:14:47.320926,1.0
2018-07,25922026,154.096774194,4777,31,2018-08-24 23:14:47.320926,1.0
2018-07,26056411,291.096774194,9024,31,2018-08-24 23:14:47.320926,
2018-08,8501680,150.774193548,4674,31,2018-08-24 23:14:47.320926,
2018-08,8739779,251.161290323,7786,31,2018-08-24 23:14:47.320926,0.75
2018-08,8926180,191.806451613,5946,31,2018-08-24 23:14:47.320926,
2018-08,8994396,148.129032258,4592,31,2018-08-24 23:14:47.320926,0.9
2018-08,9317060,143.225806452,4440,31,2018-08-24 23:14:47.320926,
2018-08,10524152,189.225806452,5866,31,2018-08-24 23:14:47.320926,
2018-08,13576904,214.096774194,6637,31,2018-08-24 23:14:47.320926,1.0
2018-08,13599334,253.419354839,7856,31,2018-08-24 23:14:47.320926,
2018-08,14351665,185.129032258,5739,31,2018-08-24 23:14:47.320926,
2018-08,14371353,280.290322581,8689,31,2018-08-24 23:14:47.320926,
2018-08,14448447,172.548387097,5349,31,2018-08-24 23:14:47.320926,
2018-08,15039647,251.580645161,7799,31,2018-08-24 23:14:47.320926,
2018-08,15083274,257.0,7967,31,2018-08-24 23:14:47.320926,
2018-08,15083984,85.0,2635,31,2018-08-24 23:14:47.320926,
